,course_id,title,organization
779,780,IBM Generative AI Engineering,IBM
780,781,Google Cybersecurity,Google
781,782,Google Data Analytics,Google
782,783,Google Project Management:,Google
783,784,Google Digital Marketing & E-commerce,Google
784,785,Google IT Support,Google
785,786,Google UX Design,Google
786,787,Machine Learning,Multiple educators
787,788,Google AI Essentials,Google
788,789,IBM Data Science,IBM
789,790,Deep Learning,DeepLearning.AI
790,791,IBM Data Analyst,IBM
791,792,IBM Generative AI Engineering,IBM
792,793,Google Cybersecurity,Google
793,794,Google Data Analytics,Google
794,795,Google Project Management:,Google
795,796,Google Digital Marketing & E-commerce,Google
796,797,Google IT Support,Google
797,798,Google UX Design,Google
798,799,Machine Learning,Multiple educators
799,800,Google AI Essentials,Google
800,801,IBM Data Science,IBM
801,802,Deep Learning,DeepLearning.AI
802,803,IBM Data Analyst,IBM
803,804,IBM Generative AI Engineering,IBM
804,805,Google Cybersecurity,Google
805,806,Google Data Analytics,Google
806,807,Google Project Management:,Google
807,808,Google Digital Marketing & E-commerce,Google
808,809,Google IT Support,Google
809,810,Google UX Design,Google
810,811,Machine Learning,Multiple educators
811,812,Google AI Essentials,Google
812,813,IBM Data Science,IBM
813,814,Deep Learning,DeepLearning.AI
814,815,IBM Data Analyst,IBM
815,816,IBM Generative AI Engineering,IBM
816,817,Google Cybersecurity,Google
817,818,Google Data Analytics,Google
818,819,Google Project Management:,Google
819,820,Google Digital Marketing & E-commerce,Google
820,821,Google IT Support,Google
821,822,Google UX Design,Google
822,823,Machine Learning,Multiple educators
823,824,Google AI Essentials,Google
824,825,IBM Data Science,IBM
825,826,Deep Learning,DeepLearning.AI
826,827,IBM Data Analyst,IBM
827,828,IBM Generative AI Engineering,IBM
828,829,Google Cybersecurity,Google
829,830,Google Data Analytics,Google
830,831,Google Project Management:,Google
831,832,Google Digital Marketing & E-commerce,Google
832,833,Google IT Support,Google
833,834,Google UX Design,Google
834,835,Machine Learning,Multiple educators
835,836,Google AI Essentials,Google
836,837,IBM Data Science,IBM
837,838,Deep Learning,DeepLearning.AI
838,839,IBM Data Analyst,IBM
839,840,IBM Generative AI Engineering,IBM
840,841,Google Cybersecurity,Google
841,842,Google Data Analytics,Google
842,843,Google Project Management:,Google
843,844,Google Digital Marketing & E-commerce,Google
844,845,Google IT Support,Google
845,846,Google UX Design,Google
846,847,Machine Learning,Multiple educators
847,848,Google AI Essentials,Google
848,849,IBM Data Science,IBM
849,850,Deep Learning,DeepLearning.AI
850,851,IBM Data Analyst,IBM
851,852,IBM Generative AI Engineering,IBM
852,853,Google Cybersecurity,Google
853,854,Google Data Analytics,Google
854,855,Google Project Management:,Google
855,856,Google Digital Marketing & E-commerce,Google
856,857,Google IT Support,Google
